tweetid,tweet_txt,created_at,author_id,followers_count,likes,retweets,replies,geo
8373251788001570180,@RepMTG Can you quote what trump ran deficit up too? 😳😳😳😳,2021-01-14 14:10:44+00:00,1272082080,82583,8471,3519,592,N/A
9942833540370180952,Trump's response to unemployment was criticized.,2022-06-07 18:51:09+00:00,2377071174,484414,7267,3638,262,Kansas
7419196886469596041,Criticism of Trump's foreign policy is widespread.,2020-03-19 23:33:44+00:00,6438031722,383916,8892,3633,1256,N/A
8817975532549869593,Trump's tenure was marked by significant events.,2020-04-05 23:00:05+00:00,1536385319,872494,71,3138,1448,N/A
2326861278061787811,Trump's foreign policies had mixed reviews.,2022-02-05 23:32:21+00:00,2635279911,900057,9444,1815,1873,N/A
5685407568513035493,@slcliberal @ghyrbbfan1974 @GuntherEagleman That’s right hey follow me cause I’m not into trump n I’m into Biden &amp; Harris n all for gays &amp; rights to gays straight etc u can trust me totally no matter cause I believe like u fully n in our democracy,2024-03-30 23:09:45+00:00,5528294020,666075,3131,2360,840,Tennessee
7091449645622956590,I also said some stuff about trump im totally sorry not lying https://t.co/OqyZAlGUhw,2022-02-05 13:34:08+00:00,4600643364,758196,8104,4577,99,N/A
7842847030046308019,@nicksortor trump wears a diaper and rambles on about sharks and batteries lol,2022-01-07 21:30:33+00:00,5990233003,864566,5038,4025,1015,N/A
6002299199565577352,"@ErrLJust @Dieselmann99 @trump_nasty @SerenaJB3 @inkblotistan Yeah, imagine. 🙄",2022-03-24 21:18:47+00:00,5083177581,99363,5034,2825,406,Montana
6964154758814433286,@MTGrepp Yep climate change is real and trump will not acknowledge it and wants to drill drill drill.  Pathetic,2023-12-14 03:44:13+00:00,4762357563,209619,7666,4239,415,N/A
8157158315240035014,By the American people.  Get over it loser.  trump lost.,2023-04-26 00:55:16+00:00,9260554112,71556,8504,890,55,Arizona
1184992519270924006,She's a trump pardoned CRIMINAL who betrayed AMERICA and it's Constitution! Worthless @RepMTG 🤮💩,2021-06-30 00:17:28+00:00,7042187864,476168,5472,287,790,N/A
4324978928374130271,"@50cent Then listen to your friend, and don’t vote for trump",2022-03-01 21:49:40+00:00,4099874907,850878,8388,4357,225,Vermont
2786258786046575791,"@WalshFreedom Who is a patriot? What makes her a patriot? The selling of Uranium to russia or the not helping to the benghazi embassy personnel, or maybe paying for the Russia hoax! Interesting way of measuring patriotism. God bless President trump",2024-01-01 15:15:13+00:00,4178084860,10199,8786,3358,57,N/A
8707128106773349635,I also said some stuff about trump im totally sorry not lying https://t.co/OqyZAlGUhw,2023-01-03 22:20:31+00:00,6963063774,660358,7333,4303,547,N/A
5487552292239383688,@RepMTG Can you quote what trump ran deficit up too? 😳😳😳😳,2024-02-19 19:49:57+00:00,7391941330,934427,5576,4231,1773,N/A
2831108717154593284,Trump's judgments on international matters.,2023-12-24 02:03:29+00:00,7521765472,302453,7628,3780,405,N/A
2872948979808189520,Trump's administration faced many challenges.,2021-11-18 02:25:00+00:00,8544240544,973889,1154,724,866,N/A
2116417602485669153,@RyanShead Seriously are you that stupid? Because trump is competent and the country was good when he was in office not this shit show with theses worthless fucking clowns in office,2022-10-16 20:11:47+00:00,5523339901,35277,5573,3466,563,South Carolina
2880705407588371063,"These toxic trump has beens are so desperate for engagement. Once trump is defeated, MAGA will go back into their pathetic holes.",2022-04-25 17:43:59+00:00,7932153964,548705,4990,4729,1271,N/A
2338280325268041325,@trump_cto $TRUMP ON TON,2022-03-22 10:19:34+00:00,7281055138,227527,7441,2452,1439,N/A
4961169638165661434,Trump's economic policies impacted many.,2023-12-07 05:58:26+00:00,3103156027,8007,5187,1391,1360,Montana
8506865587854475624,Trump's policies have always been controversial.,2021-07-28 02:48:07+00:00,5188962333,293012,3297,2665,258,N/A
3045494488827543604,@ErrLJust @Dieselmann99 @trump_nasty @SerenaJB3 @inkblotistan Do you understand what a citation is?,2023-11-14 12:16:16+00:00,6097358136,599252,50,4330,1589,N/A
6528614739049073840,Criticism of Trump's foreign policy is widespread.,2022-04-25 19:52:35+00:00,6649604915,758602,1522,4637,192,Texas
9053630972267612909,Trump's policies have always been controversial.,2023-03-06 13:36:52+00:00,9066453109,736327,635,4073,1362,N/A
8296665748027378190,@norugpls @elonmusk @mollarstoken THE TEAM BEHIND IT 🔥🔥🔥 $TRUMP @trumpsolanacoin https://t.co/XFaaUSwCNW,2021-08-29 01:36:25+00:00,3305705612,630995,5752,1913,1349,Vermont
6598477252624290252,@RyanShead Seriously are you that stupid? Because trump is competent and the country was good when he was in office not this shit show with theses worthless fucking clowns in office,2021-05-09 23:19:57+00:00,9939176012,122526,2160,769,1494,Maine
8593982239087144050,Trump's economic policies impacted many.,2024-03-31 13:53:57+00:00,5860394894,434135,8549,34,688,West Virginia
3854215939485932464,"But, trump tied now or something. https://t.co/KjyMKUumJV",2021-12-20 16:50:14+00:00,9866298024,337907,2608,2984,1751,Illinois
3704644735009976910,@Bel0x1 @shahh @trump_cto $trump,2022-02-04 14:50:44+00:00,3548350837,88238,6038,1997,290,N/A
9267119889881557780,"@JesseBWatters The only terror attack will be the violence of the MAGA cultists, trump (and marjorie)",2021-04-03 03:55:09+00:00,1042184650,549862,7230,3532,590,South Dakota
5427471863297293330,@ImMeme0 Joe and trump will hide in bunkers if it goes down both are cowards,2023-09-30 02:08:36+00:00,9457081683,555145,3291,4061,1782,N/A
4925122531339633591,#trump just spouts out random shit,2022-02-01 01:26:32+00:00,5956625320,949458,9629,4463,827,N/A
9243586493087381808,All aboard the #trump $train over at @trumptrainerc 🚂,2021-06-30 00:33:37+00:00,8022224570,284585,6606,4860,1656,N/A
4603246924761378361,not good go trump,2024-06-15 16:25:05+00:00,8093197175,954524,3892,943,780,N/A
8422554805265875939,"@50cent Then listen to your friend, and don’t vote for trump",2022-07-11 22:59:38+00:00,9134300599,364524,7375,535,1119,Virginia
5421302193128335906,@ErrLJust @Dieselmann99 @trump_nasty @SerenaJB3 @inkblotistan Do you understand what a citation is?,2023-04-20 22:33:21+00:00,2999252390,637664,9363,4506,592,N/A
2755738585997675919,"@Acyn This is reason enough to vote against trump.  He doesn't know how cryptocurrency works, and doesn't get that it has no value.",2022-05-10 06:50:26+00:00,1406061606,969077,6008,4324,1448,N/A
5638817795789922707,Trump's rule saw significant economic changes.,2022-01-28 01:59:00+00:00,4370894109,922,4368,4961,686,Alaska
6121692739538081572,Can you add how many people voted for trump and how many people voted for Biden and subtract that total from the total number of registered voters? Guess you are too stupid to figure that out,2021-09-17 22:58:07+00:00,9066440762,218396,1732,2383,60,Massachusetts
7804663753641966252,"@Acyn Trump loses America will be done with all trumps bull,America can be normal again",2021-09-30 09:57:17+00:00,9666367228,234358,6164,1430,283,Minnesota
9275439212877310355,"I’m wondering why this stops @POTUS ? If trump could act, Biden must act. Why rules only apply to @DNC Dems? Why are we not stopping Trump from doing what he wants while Dems are stopped? https://t.co/FCpSEpuRa5",2022-02-09 18:39:51+00:00,5382268538,790136,2971,2135,1898,Louisiana
5820674959799770214,@Bel0x1 @shahh @trump_cto $trump,2020-03-01 06:21:07+00:00,6901114665,826686,5853,978,633,Virginia
3479950504266447145,@PapiTrumpo I can't stand trump but this was GOLD.. Godzillary is the embodiment of pure evil.. she deserved this roast,2024-02-14 12:17:11+00:00,8803371586,958681,4594,2028,264,N/A
1495851087860707270,"Shut up and sit down, you’re scum, just like trump. You’ve got his stink in you and you won’t recover from that. His values are your values and that means no character, no integrity, just scum.",2021-05-31 02:29:35+00:00,2261469593,421328,3409,1236,67,N/A
8776178785937320633,Trump's economic policies impacted many.,2020-08-02 12:53:47+00:00,6697525107,20519,7651,555,624,Hawaii
4862853262307062084,@SatoshiFlipper calling next bluechip $TRUMP @trumpsolanacoin https://t.co/DBQ9XrOOrw,2024-03-17 10:55:38+00:00,6120012484,871677,1529,3927,258,Connecticut
7376591486028576565,"@Acyn Trump loses America will be done with all trumps bull,America can be normal again",2023-04-13 22:27:14+00:00,3961294932,228170,7864,3869,185,Tennessee
2916820312876035858,@thejackhopkins We watched this portion of the speech on CBS.  They made no mention of trump slurring his words.  My husband and I both noticed the slurring at the same time.  How can the media ignore trumps deteriorating mind?,2023-08-29 00:55:39+00:00,9943027295,803986,5317,4756,1911,N/A
8260537932759694641,"I will say it till the end of time, style will ALWAYS trump realism in video games https://t.co/sVtnG2PV65",2022-08-01 11:16:57+00:00,8329500705,832452,3549,3009,1186,Montana
7960191372383801468,Trump's policies have always been controversial.,2022-05-11 16:40:07+00:00,2665141011,651263,9795,1980,1371,N/A
7800084181340707297,@BidensWins why do the democrats think that if a politician or celebrity said they won't vote for trump they think we will change are mind who we vote for?,2022-09-24 04:39:08+00:00,9172459878,787855,7267,1828,82,N/A
8517929279704697644,Trump's tenure was marked by significant events.,2024-05-01 22:47:56+00:00,3799425236,378530,6085,223,445,Arizona
6108642754270614501,"We know. This is why we are confident that trump will have his 3erd term. We are in his second already. We are paused, and he is our war time president. #maga #trump2024",2020-05-13 03:22:11+00:00,5844453739,825533,3290,2970,85,Colorado
7939290028291145683,Trump's recent statement caused quite a stir.,2022-01-12 13:37:51+00:00,1428292093,642470,2417,1816,60,N/A
5825961903136333314,@MTGrepp Yep climate change is real and trump will not acknowledge it and wants to drill drill drill.  Pathetic,2021-01-07 03:06:44+00:00,1780210765,666961,8587,495,1552,Washington
2810396428586040422,@RepMTG Can you quote what trump ran deficit up too? 😳😳😳😳,2021-12-18 09:51:39+00:00,9787697958,810868,2567,2676,1952,Idaho
3797633208637965789,"@ErrLJust @Dieselmann99 @trump_nasty @SerenaJB3 @inkblotistan Yeah, imagine. 🙄",2024-05-18 16:01:37+00:00,4673245231,695998,5802,960,1360,N/A
9907631374093657084,"@JesseBWatters The only terror attack will be the violence of the MAGA cultists, trump (and marjorie)",2023-11-12 14:40:38+00:00,7612664315,246616,1304,4922,1872,N/A
1753786741444436996,@mmpadellan I hope trump loses every fucking red cent he has.,2022-03-13 01:30:22+00:00,5216302452,505571,3789,4932,1677,N/A
2030188667902949902,Can you add how many people voted for trump and how many people voted for Biden and subtract that total from the total number of registered voters? Guess you are too stupid to figure that out,2020-01-21 10:35:21+00:00,1787099575,354553,5398,98,1531,Massachusetts
2506778824687755895,@trump_cto $TRUMP ON TON,2023-03-23 15:18:29+00:00,6244623328,50267,5391,2532,3,Missouri
5056029497151066262,@jimstewartson Maybe - all the others want to remove trump (25th amendment) once the election is over.,2022-01-28 00:12:10+00:00,3115500871,673110,3764,2228,1277,Texas
3276146409840626654,Trump's judgments on international matters.,2023-01-11 10:46:19+00:00,5249309448,477250,4893,2055,408,N/A
8071921757625953305,Preemptive cope for when biden looks coherent and trump is unhinged,2021-04-23 18:34:34+00:00,4726924665,570757,4968,3524,215,Georgia
4878924291876678102,"Shut up and sit down, you’re scum, just like trump. You’ve got his stink in you and you won’t recover from that. His values are your values and that means no character, no integrity, just scum.",2024-01-22 08:06:40+00:00,8401393174,413088,5993,4336,1329,N/A
1922835796813750104,"@50cent Then listen to your friend, and don’t vote for trump",2024-03-13 01:30:57+00:00,3328118266,82707,7357,4585,312,N/A
2231220147883217445,"@Acyn This is reason enough to vote against trump.  He doesn't know how cryptocurrency works, and doesn't get that it has no value.",2023-03-20 19:00:18+00:00,8383256625,333348,7406,153,224,N/A
5599897265318594044,@PapiTrumpo I can't stand trump but this was GOLD.. Godzillary is the embodiment of pure evil.. she deserved this roast,2022-03-02 08:07:24+00:00,3274178559,622360,1150,3397,70,N/A
6496381812035295788,@BidensWins why do the democrats think that if a politician or celebrity said they won't vote for trump they think we will change are mind who we vote for?,2022-09-04 05:31:49+00:00,5481665800,456650,5417,865,7,Rhode Island
8032583253174553689,Exactly what you can expect for the rapist-candidate Donald J. Trump. #aborttheGOP #trumpisacriminal #trumpisafelon #trumpisarapist #trumpisatraitor #trumpisataxcheat #draftdodger #adulterer #thief #conman #insurrectionist #electioninterferer #loser #liar #taxcheat,2022-02-28 23:35:04+00:00,6882711360,911232,1276,627,138,Florida
8708350247197364005,Criticism of Trump's foreign policy is widespread.,2020-01-08 02:19:53+00:00,2061289706,97570,4136,3632,1520,N/A
4208098037347059433,Trump's decisions on the war were controversial.,2022-12-12 10:17:20+00:00,1935564527,611940,6997,2025,1719,N/A
6046390567634073488,"I mean, per the cult, since Iowa polling was good for trump, he’s winning MN too. No really, really",2022-12-08 05:11:20+00:00,6347437805,67186,6669,4972,1950,Maine
8783482520611937722,@rissama10 @MZigg @donkoclock ive not ever had to be hospitalized and am vaxxed..... ask trump why he got vaccinated,2020-11-04 03:13:09+00:00,9511579287,173248,2449,3648,1696,Illinois
8582415085219447481,"I’m wondering why this stops @POTUS ? If trump could act, Biden must act. Why rules only apply to @DNC Dems? Why are we not stopping Trump from doing what he wants while Dems are stopped? https://t.co/FCpSEpuRa5",2024-02-19 00:38:16+00:00,4300201519,318119,7929,4802,657,N/A
9694546818209027139,Many people have strong opinions on Trump.,2021-03-25 04:21:46+00:00,9882259244,677979,1320,1765,458,N/A
2137778472113554168,@nicksortor trump wears a diaper and rambles on about sharks and batteries lol,2024-03-27 16:23:10+00:00,1425621042,584107,3388,4682,1083,N/A
9221443024773832842,#Biden  #FJB #joebiden #fuckjoebiden #bidencrimefamilly #trump2024 https://t.co/IAGedV9Swr,2024-04-18 21:52:02+00:00,8092582191,618360,9184,2803,163,N/A
3458609864335201369,"But, trump tied now or something. https://t.co/KjyMKUumJV",2022-07-08 22:52:04+00:00,5004111229,726380,267,4519,227,Delaware
1875916059442592092,"We know. This is why we are confident that trump will have his 3erd term. We are in his second already. We are paused, and he is our war time president. #maga #trump2024",2024-04-08 02:32:49+00:00,4215789237,108208,8903,980,982,N/A
9078695642466299767,@jimstewartson Maybe - all the others want to remove trump (25th amendment) once the election is over.,2022-07-26 21:15:42+00:00,8456234369,64989,1903,4382,659,South Carolina
1457469421559099158,"I mean, per the cult, since Iowa polling was good for trump, he’s winning MN too. No really, really",2023-09-25 14:11:29+00:00,4451573341,451012,3545,802,1101,N/A
4976664902706950073,Trump's judgments on international matters.,2020-08-15 12:26:06+00:00,7043970959,483416,5408,3056,1565,N/A
4266190511850150746,Preemptive cope for when biden looks coherent and trump is unhinged,2022-03-08 19:44:20+00:00,2856229672,888736,7446,4192,788,N/A
3092534478842591079,@RonFilipkowski You can be a trump girl without a brain.,2023-10-11 17:12:05+00:00,6725966236,619383,4392,2471,1820,N/A
8776016135905884777,"I’m wondering why this stops @POTUS ? If trump could act, Biden must act. Why rules only apply to @DNC Dems? Why are we not stopping Trump from doing what he wants while Dems are stopped? https://t.co/FCpSEpuRa5",2024-05-01 00:59:07+00:00,4721834310,816562,4952,391,1489,Louisiana
